Name,Current price,Change(%),Open,High,Low,Volume
THIRD HARMONIC BIO INC.,12.72,1.92,12.48,13.18,12.41,96295
TECHPRECISION CORP.,3.5,6.06,3.4,3.6,3.27,95992
ALLARITY THERAPEUTICS INC.,1.43,2.88,1.38,1.44,1.36,95950
NORTHFIELD BANCORP INC.,11.74,0.51,11.67,11.82,11.57,95870
LIGHTPATH TECHNOLOGIES INC.,1.56,0.65,1.55,1.59,1.51,95719
AEROVATE THERAPEUTICS INC.,2.14,0.47,2.12,2.15,2.07,95692
ZJK INDUSTRIAL CO.,4.65,4.26,4.35,4.68,4.32,95472
N2OFF INC.,0.2194,13.77,0.214,0.228,0.2106,95387
SIEBERT FINANCIAL,2.52,17.76,2.29,2.58,2.18,95277
TFF PHARMACEUTICALS INC.,2.33,2.64,2.61,2.76,2.27,94937
CIMPRESS PLC,81.85,0.01,82.02,82.38,79.64,94712
NIOCORP DEVELOPMENTS,1.71,14.47,1.79,1.79,1.7,94530
SNOW LAKE RESOURCES,0.281,11.37,0.283,0.3075,0.27,94291
RALLYBIO CORP.,1.08,11.82,1.1,1.12,1.08,94253
CITIUS ONCOLOGY INC.,1.05,3.96,1.02,1.08,1.01,94151
BOK FINANCIAL CORP.,109.33,1.28,108.08,109.89,107.35,94147
ALPHAVEST ACQUISITION CORP RIGHT,0.16,6.67,0.1595,0.16,0.15,93821
SILICON MOTION TECHNOLOGY,59.2,11.22,60.13,60.63,59.2,93650
MBX BIOSCIENCES INC.,23.55,11.63,23.78,24.31,22.57,93555
MAISON SOLUTIONS INC.,1.16,13.33,1.21,1.22,1.11,93538
EVERCOMMERCE INC.,10.24,10.29,10.28,10.28,10.13,93495
BINGEX LTD.,12.63,1.45,12.76,13.68,12.0,93461
COLUMBUS MCKINNON,35.14,1.06,34.72,35.2,34.57,93385
TURNSTONE BIOLOGICS,0.4567,11.15,0.46,0.4723,0.4501,93092
REZOLVE AI LTD.,6.79,11.16,6.67,7.0,6.65,93089
BROADWIND INC.,2.09,13.69,2.18,2.18,2.09,93046
TRIUMPH FINANCIAL INC.,78.9,10.21,78.99,79.77,78.38,92993
THE9 LTD.,8.2,14.65,8.43,8.7,8.06,92875
XILIO THERAPEUTICS INC.,0.776,13.12,0.841,0.8437,0.7701,92825
GOLDEN MATRIX GROUP INC.,2.23,13.88,2.33,2.33,2.14,92814
ALLIANCE ENTERTAINMENT HOLDING,2.75,7.84,2.59,2.95,2.5,92698
TRIDENT DIGITAL TECH HLD.,3.05,14.98,3.15,3.25,3.0,92621
CADRENAL THERAPEUTICS INC.,14.5,7.41,13.79,15.93,13.51,92516
MONDEE HOLDINGS INC.,1.15,0.0,1.16,1.16,1.1,92266
CAPITAL BANCORP INC.,25.39,2.05,25.09,25.74,24.89,92240
LIBERTY MEDIA CORP.,52.85,1.62,52.74,53.62,52.47,92175
INTRUSION INC.,0.789,12.78,0.84,0.85,0.77,92171
CYCLO THERAPEUTICS INC.,0.7431,13.99,0.7789,0.81,0.74,92150
LEDDARTECH HOLDINGS INC.,0.263,0.0,0.27,0.27,0.25,92143
CRESCENT CAPITAL BDC INC.,18.44,0.49,18.36,18.5,18.33,92014
OPTIMIZERX CORP.,6.58,10.75,6.63,6.72,6.49,92003
HEARTLAND FINANCIAL USA INC.,59.32,0.24,59.11,59.84,57.96,91968
SUNSHINE BIOPHARMA INC.,3.01,1.35,2.98,3.07,2.92,91873
ZEO ENERGY CORP.,1.45,19.94,1.62,1.63,1.43,91833
LIFEVANTAGE CORP.,12.3,1.23,12.76,12.76,11.87,91453
ASPEN TECHNOLOGY INC.,237.37,0.64,236.54,237.56,234.51,91174
ARBE ROBOTICS,2.0,0.0,1.98,2.03,1.98,90559
WD-40 COMPANY,258.98,10.62,261.84,262.2,257.57,90320
INSIGHT ENTERPRISES INC.,219.3,2.27,215.21,220.58,214.44,90135
SEZZLE INC.,187.83,4.5,179.75,192.63,176.75,90073
MONTAUK RENEWABLES INC.,5.67,11.39,5.75,5.78,5.59,89941
HARVARD BIOSCIENCE INC.,2.49,11.58,2.53,2.55,2.48,89876
SYROS PHARMACEUTICALS INC.,1.97,2.07,1.95,1.98,1.93,89767
CARAVELLE INTERNATIONAL GROUP,0.5578,1.6,0.5244,0.5797,0.5244,89581
CHICAGO ATLANTIC REAL ESTATE FINANCE,15.74,1.22,15.58,15.77,15.58,89364
CSG SYSTEMS INTERNATIONAL INC.,48.58,0.48,48.36,48.71,48.18,89316
VIGIL NEUROSCIENCE INC.,3.58,1.99,3.48,3.63,3.46,89194
JIAYIN GROUP INC. ADS,7.51,3.02,7.24,7.6,7.03,88795
GLADSTONE CAPITAL,24.47,0.0,24.47,24.62,24.42,88524
TOP KINGWIN LTD,0.52,11.89,0.52,0.525,0.482,88264
SILO PHARMA INC.,1.01,11.94,1.01,1.03,1.01,88256
NIXXY INC.,2.21,111.95,2.46,2.65,2.2,88207
CARTESIAN THERAPEUTICS INC.,21.85,11.4,22.12,22.93,21.17,88127
LOTUS TECHNOLOGY INC. ADS,4.55,0.66,4.5,4.57,4.47,87936
FIBROBIOLOGICS INC.,2.7,3.85,2.6,2.73,2.52,87889
HARBORONE BANCORP INC.,13.16,0.08,13.18,13.2,12.7,87799
LEARN CW INVESTMENT,10.87,0.0,11.1,12.91,9.5,87771
HORIZON BANCORP INC.,15.36,0.85,15.22,15.48,15.06,87685
REPARE THERAPEUTICS INC.,3.39,7.96,3.14,3.45,3.12,87640
JAGUAR HEALTH INC.,1.26,0.8,1.27,1.28,1.25,87557
B. RILEY FINANCIAL,12.15,21.5,11.05,12.4,11.05,87089
AVIAT NETWORKS INC.,22.58,10.83,22.71,22.9,22.43,87070
DIGIHOST TECHNOLOGY INC.,1.07,5.94,1.04,1.1,1.01,86938
OLYMPIC STEEL INC.,39.24,10.71,39.22,39.25,38.3,86920
DURECT CORP.,1.3,0.0,1.29,1.36,1.25,86877
CHINA NATURAL RESOURCES INC.,0.7312,19.52,0.8,0.8,0.7151,86702
ARQIT QUANTUM INC.,4.06,13.1,4.3,4.73,3.97,86561
ENCORE CAPITAL GROUP INC,44.74,10.31,44.81,45.24,44.38,86533
PINTEC TECHNOLOGY HLD.,0.92,16.12,0.95,1.02,0.8847,86359
BRAINSWAY LTD. ADS,9.39,11.16,9.58,9.59,9.3,86320
PAINREFORM,0.5998,2.88,0.58,0.6001,0.5345,85687
HILLEVAX INC.,1.78,11.11,1.8,1.8,1.75,85536
ALERUS FINANCIAL,23.53,1.29,23.3,23.66,23.21,84618
RAPPORT THERAPEUTICS INC.,24.39,10.61,22.2,24.61,22.2,84236
PALTALK INC.,2.39,14.78,2.51,2.53,2.35,84220
GALECTIN THERAPEUTICS INC.,2.63,12.59,2.7,2.7,2.61,83733
VIRTRA INC.,6.36,0.79,6.32,6.39,6.13,83543
HYDROFARM HLD.,0.6716,10.5,0.67,0.6983,0.6667,83444
ABITS GROUP INC,0.48,8.13,0.42,0.5,0.4106,83422
PROQR THERAPEUTICS N.V.,1.81,12.16,1.85,1.88,1.77,83415
NOVANTA INC.,176.44,0.81,175.5,177.12,175.07,83330
HYCROFT MINING HOLDING,2.4,1.27,2.35,2.41,2.32,83291
HAYNES INTERNATIONAL INC.,59.81,10.07,59.81,60.19,59.76,83200
KAISER ALUMINUM,72.21,0.94,70.82,72.64,70.82,83149
TACTILE SYSTEMS TECHNOLOGY,14.28,0.85,14.17,14.29,13.98,83131
CONTEXT THERAPEUTICS INC.,1.99,1.53,1.97,2.06,1.96,83045
INTELLIGENT BIO SOLUTIONS INC.,1.45,12.68,1.53,1.53,1.41,82981
ATARA BIOTHERAPEUTICS INC.,8.15,1.49,8.0,8.68,7.91,82935
POTBELLY CORP.,8.19,0.12,8.16,8.23,8.06,82576
FOXX DEVELOPMENT HLD.,8.95,13.45,9.23,10.0,8.89,82555
MASSIMO GROUP,3.84,1.59,3.77,3.99,3.62,82433
CONNEXA SPORTS TECHNOLOGIES,5.99,111.0,6.8,6.87,5.81,82430
ATLAS LITHIUM CORP.,7.41,14.26,7.65,7.77,7.28,82417
AVALON GLOBOCARE,0.2151,10.05,0.205,0.2151,0.2015,82278
HEARTBEAM INC.,2.26,4.63,2.13,2.3,2.13,82274
RESHAPE LIFESCIENCES INC.,5.35,5.31,5.05,5.75,5.05,82146
RISING DRAGON ACQUISITION,10.01,1.0,10.01,10.01,10.0,82099
QT IMAGING HOLDINGS INC.,0.5948,5.93,0.584,0.61,0.5614,82099
VISTAGEN THERAPEUTICS INC.,3.02,10.33,3.01,3.08,2.97,81710
CEVA INC.,25.19,10.28,25.41,25.74,25.09,81659
ENVVENO MEDICAL,3.18,11.24,3.28,3.32,3.13,81559
ARRIVENT BIOPHARMA INC.,27.94,11.06,28.14,28.38,27.79,81452
MICROBOT MEDICAL INC.,0.9614,12.26,1.0,1.01,0.96,81417
BIT ORIGIN LTD.,2.15,14.44,2.3,2.74,2.1,81324
JUNEE LTD.,4.96,1.85,4.98,5.39,4.94,81188
STERLING CHECK CORP.,16.86,0.54,16.73,16.88,16.69,81166
CALAMOS DYNAMIC CONVERTIBLE &,25.71,10.31,25.87,26.07,25.6,81153
ALIGOS THERAPEUTICS INC.,7.23,15.12,7.6,7.6,6.98,80942
KRYSTAL BIOTECH INC.,179.58,0.49,177.6,180.26,177.02,80913
SIYATA MOBILE INC.,0.84,0.53,0.8359,0.8499,0.8206,80837
SOLARMAX TECHNOLOGY INC.,0.9,11.76,0.92,0.9351,0.882,80553
SENSUS HEALTHCARE INC.,6.55,11.06,6.7,6.8,6.52,80545
CONCRETE PUMPING HLD.,5.67,10.18,5.73,5.84,5.66,80202
GAIA INC.,5.42,5.24,5.18,5.45,5.18,80158
PC CONNECTION INC.,73.94,0.34,73.68,74.14,73.68,79920
SENSEI BIOTHERAPEUTICS INC.,0.4451,15.3,0.47,0.49,0.4261,79766
SMITH MICRO SOFTWARE INC.,1.02,2.0,1.03,1.05,1.02,79753
LINCOLN EDUCATIONAL SERVICES,12.48,3.65,12.1,12.81,12.01,79694
MURAL ONCOLOGY PLC,3.43,10.87,3.47,3.55,3.42,79610
IMMIX BIOPHARMA INC.,1.38,14.83,1.46,1.51,1.38,79498
CISO GLOBAL INC.,0.9686,11.67,0.98,1.02,0.8766,79299
VOLCON INC.,0.81,1.38,0.81,0.82,0.7799,79289
BOWMAN CONSULTING GROUP,22.34,1.41,22.15,22.72,22.06,79126
INSPIRA TECHNOLOGIES OXY B.H.N.,1.39,1.46,1.41,1.42,1.38,78758
BLACKBAUD INC.,83.9,0.45,83.55,84.02,82.65,78679
CLEARFIELD INC.,36.05,0.14,36.05,36.15,35.69,78633
WEREWOLF THERAPEUTICS INC.,1.96,12.0,2.06,2.06,1.9,78601
STOCK YARDS BANCORP INC.,64.06,0.61,63.61,64.41,61.27,78422
OSI SYSTEMS INC.,149.44,0.95,147.91,149.48,147.01,78191
INNO HOLDINGS INC.,3.69,1.1,3.62,3.96,3.6,78083
DULUTH HOLDINGS INC.,3.88,1.04,3.85,3.95,3.83,78021
AVITA MEDICAL INC.,10.41,0.97,10.36,10.52,10.02,78006
SEMILUX INTERNATIONAL,1.6,25.98,1.29,1.74,1.28,77922
THE DESCARTES SYSTEMS GROUP,104.24,11.38,105.7,106.5,104.03,77563
LIFEWARD,2.75,14.18,2.8,2.81,2.75,77547
ACUMEN PHARMACEUTICALS INC.,2.35,0.0,2.39,2.41,2.33,77115
BRENMILLER ENERGY LTD,0.8021,12.25,0.8107,0.84,0.8001,76910
APPTECH PAYMENTS,0.7044,13.52,0.73,0.75,0.7025,76887
FLEXSHOPPER INC.,1.29,8.4,1.23,1.32,1.21,76840
NEXXEN INTERNATIONAL,7.74,10.77,7.65,7.79,7.58,76742
MF INTERNATIONAL,0.9,0.0,0.9,0.92,0.85,76671
TRIVAGO N.V. ADS,1.69,0.0,1.71,1.71,1.65,76649
CLENE INC.,5.75,3.23,5.61,5.99,5.61,76455
EPLUS INC.,101.67,1.65,100.4,101.89,100.36,76236
SOUNDTHINKING INC.,11.46,1.06,11.27,11.51,11.06,76077
COYA THERAPEUTICS INC.,7.84,11.21,7.23,7.86,7.07,76024
MATRIX SERVICE CO.,11.4,11.21,11.52,11.54,11.36,75969
PASSAGE BIO INC.,0.6011,0.18,0.6169,0.62,0.5735,75893
MOTORCAR PARTS OF AMERICA INC.,6.18,10.48,6.18,6.25,6.04,75837
RYVYL INC.,1.86,6.9,1.75,1.95,1.71,75825
TURTLE BEACH CORP.,14.78,11.07,14.94,15.01,14.77,75760
PMV PHARMACEUTICALS INC.,1.5,0.67,1.5,1.51,1.48,75699
LEAP THERAPEUTICS INC.,2.34,1.3,2.31,2.44,2.31,75564
MANITEX INTERNATIONAL INC.,5.66,10.18,5.67,5.69,5.65,75417
HUTCHMED (CHINA),19.49,0.0,19.58,19.58,19.25,75352
KLX ENERGY SERVICES HLD.,5.55,10.72,5.58,5.67,5.49,75301
ZIMVIE INC.,15.81,11.19,15.98,15.99,15.74,75215
NOVA MINERALS LTD.,7.18,10.28,7.49,7.54,6.55,75196
PDF SOLUTIONS INC.,31.3,0.77,31.12,31.59,31.0,75054
SCANSOURCE INC.,48.41,0.71,48.02,48.44,47.95,74998
PALOMAR HOLDINGS INC.,97.79,1.68,96.5,98.12,96.07,74983
PLUS THERAPEUTICS INC.,1.32,13.65,1.42,1.42,1.21,74855
GRAND CANYON EDUCATION INC.,133.62,0.11,133.12,133.82,132.9,74850
ONEMEDNET CORP,0.661,0.15,0.68,0.714,0.66,74808
ENTERPRISE FINANCIAL SERVICES,51.18,1.01,50.65,51.43,50.26,74772
NOVA,221.56,2.34,219.79,223.18,219.79,74619
ALLIENT INC.,18.4,12.9,18.93,18.97,18.28,74562
NORTHEAST COMMUNITY BANCORP,27.2,10.37,27.41,27.48,26.61,74269
ISPIRE TECHNOLOGY INC.,6.69,0.3,6.64,6.94,6.6,74141
FRANKLIN ELECTRIC CO. INC.,106.4,1.04,105.09,106.58,104.82,74028
CYNGN INC.,4.14,11.29,3.67,4.15,3.67,73804
ASCENT SOLAR TECHNOLOGIES INC,2.43,110.99,2.74,2.74,2.38,73542
MODULAR MEDICAL INC.,2.17,1.4,2.12,2.22,2.07,73046
DRAGANFLY INC.,3.3,110.81,3.76,3.78,3.23,72964
SIDUS SPACE INC.,2.63,2.33,2.57,2.66,2.57,72926
MAMMOTH ENERGY SERVICES INC.,4.64,11.07,4.64,4.7,4.62,72765
KURA SUSHI USA INC.,83.99,2.0,82.14,84.07,81.08,72688
MINERALYS THERAPEUTICS INC.,13.59,0.22,13.49,13.64,13.35,72537
BENITEC BIOPHARMA INC.,10.16,16.45,11.0,11.55,10.13,72225
GALMED PHARMACEUTICALS,3.67,14.68,3.75,3.92,3.62,71952
NXU INC.,0.2551,2.0,0.2501,0.2602,0.2501,71916
A-MARK PRECIOUS METALS INC.,41.91,10.05,41.79,42.16,41.4,71708
WESTAMERICA BANCORP.,49.69,1.47,48.7,49.81,47.31,71614
DIAMEDICA THERAPEUTICS INC.,4.46,4.94,4.3,4.5,4.26,71575
SENTI BIOSCIENCES INC.,2.12,11.4,2.11,2.63,2.0,71560
RAYTECH HOLDING LTD.,1.61,1.9,1.59,1.64,1.56,71535
BRAINSTORM CELL THERAPEUTICS,2.19,9.5,2.03,2.24,2.0,71528
PERMA-FIX ENVIRONMENTAL SERVICES,13.16,10.98,13.25,13.39,12.99,71527
U.S. GOLD CORP.,5.9,10.34,5.91,5.95,5.83,71450
HEARTCORE ENTERPRISES INC.,0.94,15.2,0.82,0.94,0.82,71057
EIGHTCO HOLDINGS INC.,2.06,4.57,2.0,2.1,1.97,70806
PRIMIS FINANCIAL,12.0,2.3,11.72,12.11,11.7,70806
VOX ROYALTY CORP.,3.0,1.01,2.98,3.01,2.96,70669
RUMBLEON INC.,5.18,0.78,5.17,5.31,5.11,70607
VICOR CORP.,41.6,0.1,41.26,41.78,41.2,70279
TRAVELZOO,12.53,10.16,12.5,12.66,12.35,70119
SHF HOLDINGS INC.,0.4611,14.36,0.46,0.4811,0.46,69923
FULL HOUSE RESORTS INC.,4.98,10.2,4.96,5.02,4.93,69793
COSMOS HEALTH INC.,0.7337,1.92,0.7296,0.7374,0.705,69673
CONSENSUS CLOUD SOLUTIONS INC.,21.29,11.71,21.77,21.86,21.25,69550
ASTRONICS CORP.,20.34,10.29,20.4,20.49,20.18,69275
THERATECHNOLOGIES INC.,1.25,0.0,1.3,1.32,1.2,69084
HERITAGE GLOBAL INC.,1.67,1.21,1.67,1.72,1.66,68725
RENT THE RUNWAY INC.,9.76,13.46,10.02,10.32,9.55,68714
ENLIVEX THERAPEUTICS,1.45,10.68,1.46,1.52,1.45,68378
ONE STOP SYSTEMS INC.,2.59,9.75,2.37,2.69,2.37,68359
MILESTONE PHARMACEUTICALS INC.,1.48,2.07,1.43,1.52,1.43,68119
NUVVE HOLDING CORP.,4.13,12.13,4.2,4.28,4.05,67911
BTC DIGITAL,1.75,10.06,1.61,1.75,1.6,67880
ONKURE THERAPEUTICS INC.,18.69,1.47,18.65,19.07,18.23,67783
AMERICAN PUBLIC EDUCATION INC.,14.3,1.63,14.06,14.43,13.9,67753
GREENLAND TECHNOLOGIES HOLDING,2.23,2.76,2.27,2.29,2.2,67744
DIGI INTERNATIONAL INC.,29.41,10.51,29.6,29.86,29.27,67642
THE JOINT CORP.,10.51,11.22,10.56,10.6,10.19,67471
AINOS INC.,0.4869,3.6,0.4583,0.4899,0.4583,67443
CLEARSIGN TECHNOLOGIES,0.83,10.72,0.8778,0.8778,0.82,67167
DERMATA THERAPEUTICS INC.,1.29,14.44,1.35,1.35,1.24,67081
CARISMA THERAPEUTICS INC.,0.9453,1.48,0.94,0.9499,0.932,67002
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,1.18,2.61,1.2,1.21,1.15,66930
SAPIENS INTERNATIONAL,35.8,12.11,36.22,36.37,35.57,66876
PIONEER POWER SOLUTIONS INC.,5.84,12.34,5.92,6.05,5.78,66549
ORAMED PHARMACEUTICALS INC.,2.38,0.0,2.38,2.41,2.36,66159
TELOMIR PHARMACEUTICALS INC.,4.71,17.1,5.09,5.1,4.7,66119
CBL INTERNATIONAL,0.98,0.0,0.9192,1.03,0.9177,65951
UNIVEST FINANCIAL,27.9,10.04,27.9,28.21,27.73,65928
WILLIS LEASE FINANCE,180.0,2.95,176.46,186.39,176.1,65904
ELEDON PHARMACEUTICALS INC.,2.75,2.61,2.65,2.8,2.65,65708
ZAPP ELECTRIC VEHICLES GROUP,2.82,4.83,2.69,2.86,2.67,65702
INNOSPEC INC.,114.22,0.44,113.33,114.78,112.28,65695
ACHIEVE LIFE SCIENCES INC.,4.99,10.2,5.0,5.02,4.94,65604
GOLDEN HEAVEN GROUP HLD.,2.35,13.69,2.41,2.48,2.31,65528
NOVONIX LTD.,2.22,13.48,2.3,2.31,2.18,65521
REALPHA TECH CORP.,1.19,0.0,1.22,1.22,1.15,65369
DARIOHEALTH CORP.,1.04,1.96,1.01,1.06,0.97,65203
LAKELAND FINANCIAL,64.37,0.97,63.68,64.86,62.99,64882
HEART TEST LABORATORIES INC.,3.58,5.92,3.46,3.71,3.39,64775
ZYNEX INC.,7.98,4.18,7.69,8.01,7.62,64749
THORNBURG,17.23,0.23,17.35,17.36,17.16,64625
CHEMOMAB THERAPEUTICS,1.2,6.19,1.14,1.2,1.09,64549
GAMESQUARE HOLDINGS INC.,0.6701,0.01,0.675,0.7,0.6605,64339
HAWKINS INC.,129.97,10.47,130.24,132.35,129.42,64335
INTEVAC INC.,3.65,2.53,3.46,3.8,3.46,64321
MATERIALISE NV ADS,5.04,10.98,5.08,5.15,5.01,64269
BOLT BIOTHERAPEUTICS INC.,0.6304,11.96,0.65,0.66,0.6304,64137
KALTURA INC.,1.32,1.54,1.3,1.34,1.29,63917
LIFECORE BIOMEDICAL INC.,4.63,0.22,4.61,4.74,4.6,63908
BULLFROG AI HOLDINGS INC.,2.64,12.22,2.69,2.78,2.59,63829
LAKESIDE HOLDING,3.01,2.38,3.01,3.49,2.8,63717
ADDUS HOMECARE CORP.,131.81,0.9,130.32,132.35,130.15,63683
TRANSCAT INC.,127.72,0.96,126.7,129.04,126.68,63679
PREMIER FINANCIAL,23.95,0.84,23.8,24.17,23.64,63451
DUOS TECHNOLOGIES GROUP INC.,3.4,1.8,3.4,3.42,3.13,63179
CVD EQUIPMENT CORP.,3.22,11.53,3.34,3.38,3.18,63095
LIBERTY BROADBAND,79.94,1.76,78.17,80.13,78.17,63018
GENERATION BIO CO.,2.45,2.51,2.36,2.48,2.33,62935
SYRA HEALTH CORP.,0.3852,5.51,0.396,0.3999,0.37,62935
GSI TECHNOLOGY INC.,3.61,12.7,3.74,3.76,3.56,62917
OUTBRAIN INC.,4.68,0.86,4.59,4.77,4.58,62879
CYTOSORBENTS CORP.,1.1,11.79,1.11,1.14,1.09,62860
INDEPENDENT BANK,33.42,0.45,33.23,33.79,32.87,62837
APX ACQUISITION,11.72,0.0,11.71,11.72,11.7,62581
GERMAN AMERICAN BANCORP INC.,39.55,0.25,39.48,40.03,39.36,62473
MOBILICOM LTD.,1.31,3.97,1.26,1.32,1.26,62385
WEARABLE DEVICES,3.71,3.06,3.63,3.88,3.62,62204
LEGACY HOUSING CORP.,26.7,0.41,26.45,26.74,26.27,62139
IMMUNOPRECISE ANTIBODIES,0.5766,11.94,0.57,0.609,0.5668,61683
XIAO-I CORP.,5.23,11.51,5.46,5.46,5.05,61661
GILAT SATELLITE NETWORKS,4.92,10.2,4.95,4.99,4.91,61631
WASHINGTON TRUST BANCORP INC.,32.65,0.37,32.53,32.98,31.88,61542
PERASO INC.,1.63,0.62,1.66,1.67,1.63,61536
ACHILLES THERAPEUTICS PLC ADS,0.985,10.37,0.9682,0.9919,0.968,61250
SOLOWIN HLD.,2.98,3.47,2.84,3.06,2.81,61080
NEXTPLAT CORP,1.11,1.83,1.09,1.15,1.09,61080
LIGAND PHARMACEUTICALS INC.,103.46,0.51,103.06,103.59,101.99,60996
AMERICA S CAR-MART INC.,41.91,12.06,42.48,42.48,41.65,60978
SUPERCOM,3.64,0.55,3.57,3.74,3.57,60960
AN2 THERAPEUTICS INC.,1.03,11.9,1.06,1.06,1.03,60915
BIOCARDIA INC.,2.59,12.26,2.62,2.67,2.52,60824
IKENA ONCOLOGY INC.,1.72,0.0,1.72,1.74,1.68,60404
SOCIETY PASS INC.,0.96,1.86,0.96,1.01,0.93,60259
ALPHA TECHNOLOGY GROUP,6.25,6.29,5.98,6.5,5.95,60076
TRUSTCO BANK CORP NY,33.29,1.52,32.85,33.4,32.59,59858
LENZ THERAPEUTICS INC.,25.5,3.2,24.83,25.67,24.63,59699
TDH HOLDINGS INC.,1.31,4.8,1.25,1.36,1.25,59613
908 DEVICES INC.,3.47,0.0,3.5,3.54,3.42,59594
B. RILEY FINANCIAL,7.76,31.53,6.32,8.26,6.32,59439
CALAMOS LONG/SHORT EQUITY & DYNAMIC,15.62,10.19,15.83,15.83,15.6,59398
CODA OCTOPUS GROUP INC.,8.21,3.79,7.97,8.33,7.9,59337
HITEK GLOBAL INC. ORD.,1.43,14.03,1.5,1.58,1.4,59260
EASTSIDE DISTILLING INC.,0.51,15.56,0.52,0.5393,0.4941,59182
RCI HOSPITALITY HLD.,42.04,0.5,42.0,42.1,41.33,59093
VEON LTD. ADS,30.26,2.09,29.69,30.95,29.6,59048
ERIE INDEMNITY CO.,533.27,10.27,536.86,536.86,531.1,58945
PLEXUS CORP.,137.93,0.72,136.78,138.19,136.78,58737
5E ADVANCED MATERIALS INC.,0.6201,10.31,0.6118,0.64,0.57,58591
PARANOVUS ENTERTAINMENT TECHNOLOGY,0.6801,12.31,0.69,0.725,0.68,58590
LANCASTER COLONY,179.77,10.28,180.58,181.41,179.48,58569
CREDIT ACCEPTANCE,458.57,0.32,458.0,467.66,450.7,58543
CIVISTA BANCSHARES INC.,17.98,1.3,17.72,18.06,17.7,58542
SPAR GROUP INC.,2.41,10.41,2.42,2.42,2.41,58449
SOLIDION TECHNOLOGY INC.,0.3606,2.71,0.3511,0.3631,0.3413,58383
HERITAGE FINANCIAL,21.88,0.23,21.81,21.99,21.26,58269
UNITED FIRE GROUP INC,19.78,0.46,19.68,19.8,19.48,58230
TIGO ENERGY INC.,1.22,14.69,1.35,1.42,1.19,58046
JOURNEY MEDICAL,5.84,0.17,6.07,6.13,5.78,57966
ALUMIS INC.,10.32,10.29,10.44,10.44,10.09,57930
PROFIRE ENERGY INC.,1.71,0.59,1.71,1.73,1.7,57778
FUTURE FINTECH GROUP INC.,0.3236,2.76,0.3149,0.3239,0.3149,57607
MARTIN MIDSTREAM PARTNERS L.P.,4.0,0.25,3.98,4.0,3.97,57582
FIRST CITIZENS BANCSHARES INC.,2035.43,0.71,2023.0,2041.14,2023.0,57347
BEL FUSE INC.,84.79,1.8,84.07,85.08,83.65,57263
NUVECTIS PHARMA INC.,6.45,0.78,6.48,6.63,6.4,57166
ENERGOUS CORP.,0.5775,12.94,0.5713,0.597,0.5606,57141
SOW GOOD INC.,10.55,1.83,10.27,10.61,10.06,57083
HEIDRICK & STRUGGLES INTERNATIONAL,37.94,0.56,37.65,38.1,37.49,57056
URBAN ONE INC. CLASS D,0.983,13.63,1.01,1.05,0.971,56872
ISRAEL ACQUISITIONS CORP,11.17,0.0,11.2,11.2,11.17,56563
HOOKIPA PHARMA INC.,3.7,10.27,3.75,3.76,3.41,56474
ALTI GLOBAL INC.,3.79,1.61,3.74,3.92,3.7,56367
SHORE BANCSHARES INC.,14.04,1.3,13.86,14.16,13.75,56345
BIO-KEY INTERNATIONAL INC.,0.651,12.84,0.67,0.67,0.65,55967
ORUKA THERAPEUTICS INC.,27.74,6.53,28.61,28.61,26.38,55952
INFLARX N.V.,1.5,10.66,1.49,1.51,1.42,55445
BARRETT BUSINESS SERVICES INC.,37.15,0.3,37.05,37.4,37.04,55423
DORCHESTER MINERALS L.P.,32.2,0.72,32.0,32.34,31.66,55233
REVELATION BIOSCIENCES INC.,0.7905,12.48,0.811,0.814,0.7831,55170
GH RESEARCH PLC,7.25,5.53,6.95,7.43,6.95,55128
SPERO THERAPEUTICS INC.,1.23,11.6,1.25,1.26,1.22,55124
LENSAR INC.,5.53,14.49,4.9,5.65,4.79,55076
RAVE RESTAURANT GROUP INC.,2.67,11.25,2.45,2.71,2.39,55046
MERCANTILE BANK,43.4,11.16,43.95,44.16,43.32,54927
SEVEN HILLS REALTY TRUST,14.13,0.28,14.17,14.29,14.06,54808
MONROE CAPITAL CORP.,8.24,1.98,8.16,8.32,8.15,54807
SOTHERLY HOTELS INC.,1.18,12.48,1.21,1.23,1.18,54710
BROOGE ENERGY LTD.,1.63,1.24,1.62,1.79,1.61,54648
ACRIVON THERAPEUTICS INC.,7.26,10.41,7.3,7.3,7.01,54627
ALLOT,3.02,3.78,2.91,3.03,2.87,54559
BRIGHTCOVE INC.,2.29,11.72,2.3,2.37,2.29,54488
TRICO BANCSHARES,44.1,1.17,43.53,45.19,43.14,54367
VROOM INC.,9.39,10.53,9.39,9.71,8.94,54283
B. RILEY FINANCIAL,9.6,23.55,8.82,9.85,8.82,54273
LIQUIDITY SERVICES INC.,22.6,0.44,22.49,22.62,22.29,54246
FAT BRANDS INC.,5.21,4.62,4.99,5.28,4.91,54054
QUALIGEN THERAPEUTICS INC.,0.1684,0.3,0.1679,0.1729,0.1613,53951
STONEX GROUP INC.,86.53,11.52,87.7,87.77,86.32,53859
VIRACTA THERAPEUTICS INC.,0.225,0.0,0.229,0.2298,0.2211,53700
ESSA PHARMA INC.,6.02,13.37,6.29,6.41,5.9,53676
LIONSGATE STUDIOS,6.83,11.01,6.93,6.93,6.67,53666
COASTAL FINANCIAL,57.52,1.5,56.58,58.1,56.37,53577
